County,April_7_ICU_LB,April_7_ICU_M,April_7_ICU_UB,April_14_ICU_LB,April_14_ICU_M,April_14_ICU_UB,ICU_Utilization_UB,April_7_Acute_LB,April_7_Acute_M,April_7_Acute_UB,April_14_Acute_LB,April_14_Acute_M,April_14_Acute_UB,Acute_Utilization_UB
Alameda,10,14,22,13,22,44,0.258823529411765,18,28,47,26,46,93,0.103563474387528
Butte,1,1,2,1,2,3,0.0697674418604651,1,2,3,2,3,6,0.0206896551724138
Contra Costa,4,6,9,5,9,19,0.133802816901408,7,11,19,10,18,37,0.0530085959885387
El Dorado,1,2,2,1,2,5,0.178571428571429,2,3,5,3,4,9,0.076271186440678
Fresno,2,2,4,2,4,8,0.0361990950226244,3,5,8,4,8,16,0.0186263096623981
Humboldt,0,0,0,0,0,1,0.0416666666666667,0,0,1,0,1,2,0.0158730158730159
Imperial,3,5,7,4,7,15,1.875,6,9,15,8,15,29,0.604166666666667
Kern,2,3,5,3,5,11,0.0827067669172932,5,7,12,7,12,24,0.0357142857142857
Kings,0,0,1,0,1,1,Inf,1,1,2,1,2,3,Inf
Los Angeles,97,138,214,123,213,423,0.231400437636762,173,266,438,244,431,876,0.0976915356306457
Madera,0,0,0,0,0,1,0.1,0,0,1,0,1,2,0.0273972602739726
Marin,2,3,4,2,4,8,0.235294117647059,3,5,7,4,7,15,0.0506756756756757
Mendocino,0,1,1,0,1,2,0.2,1,1,2,1,1,3,0.0576923076923077
Merced,0,0,0,0,0,1,0.0416666666666667,0,0,1,0,1,2,0.0121951219512195
Monterey,2,3,4,2,4,8,0.186046511627907,3,5,9,5,8,17,0.047887323943662
Napa,1,1,1,1,1,3,0.0454545454545455,1,1,2,1,2,4,0.0256410256410256
Nevada,5,8,12,7,12,23,Inf,7,11,19,11,19,38,Inf
Orange,16,23,36,20,35,70,0.158730158730159,28,43,71,39,70,141,0.0586766541822722
Placer,4,5,8,5,8,16,0.8,6,9,14,8,14,28,0.191780821917808
Riverside,11,15,24,14,24,47,0.167857142857143,18,28,46,26,46,93,0.0587121212121212
Sacramento,7,10,15,9,15,31,0.13135593220339,12,19,31,17,31,62,0.0568807339449541
San Bernardino,11,15,24,14,24,47,0.127371273712737,21,33,54,30,53,108,0.0621403912543153
San Diego,23,32,50,29,50,99,0.196039603960396,40,61,100,56,99,201,0.079635499207607
San Francisco,8,11,17,10,17,33,0.153488372093023,13,20,32,18,32,65,0.0843060959792477
San Joaquin,3,5,8,4,8,15,0.441176470588235,6,10,16,9,16,31,0.182352941176471
San Luis Obispo,0,0,0,0,0,1,0.037037037037037,0,0,1,0,1,1,0.00613496932515337
San Mateo,10,14,21,12,21,42,0.471910112359551,16,25,41,23,40,81,0.144385026737968
Santa Barbara,4,5,8,5,8,16,0.333333333333333,6,9,14,8,14,29,0.169590643274854
Santa Clara,26,38,58,33,58,115,0.432330827067669,47,73,120,67,118,240,0.182094081942337
Santa Cruz,0,0,0,0,0,1,0.166666666666667,0,0,1,0,1,2,0.0294117647058824
Shasta,0,0,0,0,0,1,0.02,0,0,1,0,1,1,0.00346020761245675
Solano,3,4,6,3,6,12,0.171428571428571,5,7,12,7,12,23,0.0732484076433121
Sonoma,1,2,3,2,3,6,0.107142857142857,2,3,5,3,5,11,0.0291005291005291
Stanislaus,3,4,6,4,6,13,0.240740740740741,5,8,13,7,13,27,0.075
Tulare,1,1,2,1,2,4,0.137931034482759,2,2,4,2,4,8,0.0238095238095238
Tuolumne,0,0,0,0,0,1,0.166666666666667,0,0,1,0,1,1,0.0169491525423729
Ventura,4,6,10,6,10,20,0.377358490566038,8,12,19,11,19,39,0.272727272727273
Yolo,0,0,1,0,1,2,0.25,1,1,2,1,2,3,0.0588235294117647
Yuba,1,1,1,1,1,2,0.0833333333333333,1,1,2,1,2,5,0.0285714285714286
