County,est_icu_beds_available,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18
Alameda,51,,,,,,,,"0 [0, 3]","0 [0, 11]","6 [0, 20]","14 [0, 30]","22 [1, 42]","31 [6, 56]","42 [11, 72]","54 [17, 90]"
Butte,13,,,,,,,,,,,,,,,"0 [0, 1]"
Contra Costa,43,,,,,,,,,,,"0 [0, 1]","4 [2, 7]","11 [8, 15]","19 [15, 23]","28 [23, 34]"
El Dorado,8,,,,"0 [0, 1]","1 [0, 2]","2 [0, 4]","3 [1, 5]","5 [2, 7]","6 [3, 10]","8 [3, 13]","10 [4, 16]","13 [6, 20]","15 [7, 24]","19 [8, 29]","22 [9, 35]"
Fresno,66,,,,,,,,,,,,,,,
Humboldt,7,,,,,,,,,,,,,,,
Imperial,2,"1 [1, 1]","2 [2, 2]","2 [2, 3]","3 [2, 4]","4 [3, 5]","5 [3, 6]","6 [4, 8]","7 [5, 9]","9 [6, 12]","10 [6, 15]","13 [7, 18]","15 [8, 22]","18 [10, 27]","22 [11, 33]","26 [12, 40]"
Kern,40,,,,,,,,,"15 [22, 8]","28 [38, 18]","43 [57, 29]","62 [80, 44]","85 [110, 61]","114 [147, 82]","150 [193, 107]"
Los Angeles,548,,,,"26 [9, 43]","131 [104, 157]","255 [216, 294]","402 [347, 458]","576 [500, 653]","782 [679, 886]","1026 [888, 1164]","1315 [1134, 1497]","1658 [1422, 1893]","2063 [1758, 2367]","2543 [2153, 2933]","3111 [2614, 3608]"
Marin,10,,,,,,,,,,,,,,,
Merced,7,,,,,,,,,"0 [0, 1]","0 [0, 2]","2 [0, 4]","4 [1, 6]","5 [2, 9]","8 [3, 13]","11 [4, 17]"
Mono,1,"5 [5, 5]","6 [6, 6]","6 [6, 7]","7 [7, 7]","8 [8, 9]","9 [8, 10]","10 [9, 11]","11 [10, 12]","13 [11, 14]","14 [12, 16]","16 [14, 18]","18 [15, 20]","20 [17, 23]","22 [18, 26]","24 [20, 29]"
Monterey,13,,,,,,,"0 [0, 1]","1 [0, 3]","3 [1, 5]","5 [2, 8]","8 [4, 12]","11 [6, 15]","14 [9, 20]","18 [11, 25]","23 [14, 31]"
Napa,20,,,,,,,,,,,,,,,
Nevada,0,"1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","1 [1, 1]","2 [1, 2]","2 [2, 2]","2 [2, 2]","2 [2, 2]","3 [2, 3]","3 [3, 3]","3 [3, 4]","4 [3, 4]","4 [4, 5]","5 [4, 6]"
Orange,132,,,,,,,,"0 [0, 8]","9 [0, 30]","29 [2, 56]","52 [18, 86]","78 [35, 120]","107 [54, 160]","141 [76, 206]","180 [100, 259]"
Placer,6,"3 [3, 3]","4 [4, 4]","6 [5, 6]","7 [6, 8]","9 [8, 11]","11 [9, 14]","14 [11, 17]","17 [13, 21]","21 [15, 26]","25 [18, 32]","30 [20, 39]","35 [23, 47]","41 [27, 56]","49 [31, 67]","57 [35, 80]"
Riverside,84,,,,,,"19 [28, 11]","38 [50, 26]","60 [77, 43]","86 [109, 64]","117 [147, 87]","154 [193, 114]","197 [248, 146]","248 [314, 182]","309 [393, 224]","381 [488, 273]"
Sacramento,71,,,,,,,,,"1 [0, 4]","12 [8, 16]","24 [19, 29]","38 [31, 45]","54 [46, 63]","73 [62, 83]","94 [81, 107]"
San Benito,2,,,,,,,,,,"0 [0, 1]","0 [0, 1]","0 [0, 2]","1 [0, 2]","1 [0, 3]","2 [0, 4]"
San Bernardino,111,,,,,,"37 [60, 14]","78 [113, 42]","130 [182, 77]","196 [272, 120]","281 [390, 173]","391 [544, 237]","532 [746, 317]","712 [1011, 414]","945 [1356, 534]","1244 [1808, 681]"
San Diego,152,,,,,,,"5 [0, 14]","31 [18, 44]","62 [44, 80]","98 [75, 121]","140 [110, 170]","189 [151, 228]","247 [198, 296]","314 [252, 376]","393 [315, 471]"
San Francisco,64,,,,,,,,,,"0 [0, 7]","4 [0, 15]","10 [0, 23]","17 [2, 32]","25 [7, 42]","33 [12, 54]"
San Joaquin,10,"5 [5, 5]","6 [6, 7]","8 [7, 9]","10 [8, 12]","12 [9, 15]","14 [11, 18]","17 [12, 22]","20 [14, 27]","23 [15, 32]","27 [17, 37]","32 [19, 44]","36 [21, 52]","42 [23, 60]","48 [26, 70]","55 [28, 81]"
San Luis Obispo,8,,,,,,,,,,,,"0 [0, 1]","0 [0, 3]","0 [0, 5]","1 [0, 7]"
San Mateo,27,,,"4 [3, 5]","8 [7, 10]","13 [11, 16]","19 [15, 22]","25 [21, 30]","33 [27, 39]","41 [33, 50]","51 [41, 62]","62 [49, 76]","75 [58, 92]","90 [69, 111]","106 [80, 132]","126 [94, 158]"
Santa Barbara,14,,,"0 [0, 1]","3 [2, 4]","6 [4, 8]","10 [6, 13]","14 [9, 18]","19 [13, 25]","25 [17, 33]","32 [21, 42]","40 [26, 54]","50 [32, 68]","62 [38, 85]","76 [46, 106]","92 [54, 130]"
Santa Clara,80,,,,,"0 [0, 6]","5 [0, 17]","14 [0, 28]","23 [4, 42]","33 [9, 56]","44 [14, 73]","56 [20, 92]","70 [27, 112]","85 [33, 136]","101 [41, 162]","120 [48, 192]"
Santa Cruz,2,,,,,,"0 [0, 1]","1 [0, 1]","1 [0, 2]","1 [0, 2]","2 [0, 3]","2 [1, 4]","3 [1, 4]","3 [1, 5]","4 [1, 6]","5 [1, 8]"
Shasta,15,,,,,,,,,,,,,,,
Solano,21,,,,,,,,,,"0 [0, 1]","0 [0, 5]","3 [0, 9]","6 [0, 14]","10 [0, 20]","15 [2, 27]"
Sonoma,17,,,,,,,,,,,,,,,
Stanislaus,16,,,,"1 [0, 2]","4 [2, 6]","7 [5, 10]","12 [8, 15]","17 [11, 22]","22 [16, 29]","29 [20, 38]","38 [26, 49]","47 [32, 62]","59 [39, 78]","73 [48, 97]","89 [57, 120]"
Tulare,9,,,,,,,,"1 [2, 1]","4 [4, 3]","6 [7, 6]","10 [11, 9]","13 [15, 12]","18 [20, 16]","24 [26, 22]","31 [34, 28]"
Ventura,16,,,,,,"0 [0, 2]","1 [0, 6]","4 [0, 10]","8 [0, 15]","11 [2, 21]","16 [4, 28]","21 [6, 36]","27 [8, 47]","35 [10, 59]","43 [13, 73]"
Yolo,2,,,,,"0 [0, 1]","1 [0, 2]","1 [0, 2]","2 [0, 3]","2 [0, 4]","3 [1, 5]","4 [1, 7]","5 [1, 9]","6 [1, 11]","7 [1, 14]","9 [1, 17]"
Yuba,7,,,,,,,,,,,,,,,
